acquire_date,offer_date
01/31/2011,08/01/2010
07/29/2011,02/01/2011
01/31/2012,08/01/2011
07/31/2012,02/01/2012
01/31/2013,08/01/2012
07/31/2013,02/01/2013
01/31/2014,08/01/2013
07/31/2014,02/01/2014
01/31/2015,08/01/2014
07/31/2015,02/01/2015
01/31/2016,08/01/2015
07/31/2016,02/01/2016
01/31/2017,02/01/2016
07/31/2017,02/01/2017
02/28/2018,02/01/2017
08/31/2018,03/01/2018
02/28/2019,03/01/2018
08/31/2019,03/01/2019
02/29/2020,09/01/2019
08/31/2020,03/01/2020
02/28/2021,03/01/2020
08/31/2021,03/01/2021
02/28/2022,03/01/2021
08/31/2022,03/01/2022
