date,open,high,low,close
11/22/2023,142.48,142.48,142.48,142.48
11/21/2023,142.67,143.63,142.47,142.48
11/20/2023,150.0,150.75,146.22,149.91
11/17/2023,149.5,150.0,148.0,149.62
11/16/2023,149.5,150.55,149.0,149.65
11/15/2023,149.87,153.56,148.08,149.21
11/14/2023,150.0,150.5,148.36,148.6
11/13/2023,151.0,151.0,148.12,149.23
11/10/2023,149.6,151.64,149.2,149.66
11/09/2023,147.88,149.28,147.67,149.1
11/08/2023,149.76,149.8,147.865,148.55
11/07/2023,150.68,151.45,147.36,148.77
11/06/2023,147.0,150.11,146.4101,149.62
11/03/2023,145.0,147.75,144.6,146.79
11/02/2023,148.21,148.21,144.6,144.76
11/01/2023,145.72,146.14,143.74,146.14
10/31/2023,144.4,145.93,143.2,145.65
10/30/2023,138.25,146.62,138.0,146.62
10/27/2023,146.03,146.32,141.99,142.2
10/26/2023,149.22,149.22,145.47,146.47
10/25/2023,149.87,149.87,146.14,148.26
10/24/2023,152.95,154.22,148.07,150.69
10/23/2023,148.01,157.1,146.6,155.87
10/20/2023,151.51,152.01,147.84,150.91
10/19/2023,159.0,159.0,145.0,150.31
10/18/2023,165.75,167.9599,163.25,166.25
10/17/2023,157.62,169.21,157.17,165.1
10/16/2023,178.4,180.61,177.82,178.88
10/13/2023,178.85,181.14,176.445,177.76
10/12/2023,172.42,180.3672,172.1,178.71
10/11/2023,170.0,171.81,169.46,171.48
10/10/2023,169.1,171.6,169.1,169.8
10/09/2023,167.04,169.56,167.04,169.1
10/06/2023,165.38,168.47,165.01,167.73
10/05/2023,165.9,166.77,165.09,165.66
10/04/2023,164.96,166.08,164.16,166.07
10/03/2023,165.83,166.5,164.0,164.38
10/02/2023,166.4,167.32,165.19,166.36
09/29/2023,167.89,168.88,166.22,166.48
09/28/2023,164.8,167.77,164.75,166.98
09/27/2023,165.75,166.66,163.66,165.03
09/26/2023,165.81,167.02,164.76,164.94
09/25/2023,166.54,168.1103,166.06,166.76
09/22/2023,163.98,167.91,163.6175,167.23
09/21/2023,161.57,165.12,160.8006,163.01
09/20/2023,167.31,168.1825,165.44,165.71
09/19/2023,166.13,166.92,165.41,166.37
09/18/2023,166.11,167.33,165.89,166.15
09/15/2023,167.27,167.68,165.48,166.96
09/14/2023,166.32,169.0,165.58,168.2
09/13/2023,164.8,166.19,163.42,165.47
09/12/2023,164.48,165.91,164.1,164.35
09/11/2023,166.86,166.86,164.54,165.51
09/08/2023,164.36,166.07,164.0,165.99
09/07/2023,164.5,164.995,162.79,164.52
09/06/2023,162.9,167.84,162.9,166.16
09/05/2023,161.84,164.95,161.84,163.91
09/01/2023,165.37,167.225,163.35,164.1
08/31/2023,166.5,170.19,166.0,168.78
08/30/2023,167.38,167.99,165.73,166.69
08/29/2023,163.23,167.75,163.23,167.49
08/28/2023,162.63,164.63,161.93,164.19
08/25/2023,161.88,163.33,159.725,162.55
08/24/2023,165.93,167.76,161.9,162.0
08/23/2023,161.27,164.68,161.21,163.99
08/22/2023,163.0,163.72,161.9762,162.0
08/21/2023,160.595,163.65,160.32,162.48
08/18/2023,154.88,155.74,153.6,154.87
08/17/2023,155.57,156.42,154.91,155.45
08/16/2023,156.05,156.91,155.5,155.78
08/15/2023,156.0,156.9144,155.17,156.03
08/14/2023,155.8,157.7,155.0,156.45
08/11/2023,156.45,156.45,154.44,155.26
08/10/2023,157.6,157.8,155.8501,156.44
08/09/2023,158.04,158.9,155.8201,156.48
08/08/2023,158.28,159.0,157.08,158.38
08/07/2023,158.12,159.78,158.07,159.23
08/04/2023,159.2,159.74,157.16,158.25
08/03/2023,157.8,161.09,156.91,158.45
08/02/2023,157.71,158.67,157.03,157.88
08/01/2023,157.68,159.93,157.0,158.96
07/31/2023,157.35,158.76,156.88,157.63
07/28/2023,158.5,159.7,157.59,157.65
07/27/2023,160.58,160.9,157.755,158.14
07/26/2023,162.55,163.03,157.795,158.8
07/25/2023,160.1,162.795,159.95,161.45
07/24/2023,160.39,161.28,159.63,160.43
07/21/2023,164.78,165.208,159.58,160.38
07/20/2023,164.9,166.11,163.61,163.77
07/19/2023,168.62,170.0,165.44,166.69
07/18/2023,157.81,159.32,156.9,158.48
07/17/2023,155.9,160.425,155.9,159.22
07/14/2023,156.59,158.47,155.4701,156.23
07/13/2023,156.3,158.55,155.61,157.17
07/12/2023,154.37,156.13,152.5,155.74
07/11/2023,144.5,156.23,143.98,151.53
07/10/2023,141.54,144.28,141.54,144.06
07/07/2023,141.74,142.78,141.26,141.4
07/06/2023,142.54,143.0,141.25,142.06
07/05/2023,143.05,144.45,142.845,143.72
07/03/2023,142.89,144.98,142.7,144.04
06/30/2023,144.03,145.73,143.43,143.69
06/29/2023,141.15,144.01,140.69,143.92
